orig_linha,data,modelo,imei,valor_venda,brinde,custo,lucro,pix,dinheiro,cartao_credito,cartao_debito,troca_aparelho,soma_pagamentos,diferenca,formas_pgto,tem_troca,modelo_troca,valor_troca,pagto_junto,pagto_junto_grupo,pagto_junto_total,pagto_junto_restante,vendedor,vendedor_id,loja,loja_id,estado,observacao,precisa_revisao,motivo_revisao,entendimento
3,03/06/2026,IPAD 11 128GB SILVER NOVO,J9T7D3RTHM,2480.0,0,2250.0,0,2480.0,0,0,0,0,2480.0,0.0,pix,NAO,,0,NAO,,,,Higor Guedes,85e3aa42-b9af-49b8-a72a-64e9c337aa53,CELL,1,novo,,NAO,,valor da venda = 2480 | 2480 pix
4,26/06/2026,IPHONE 17 PRO MAX 256GB LARANJA NOVO,357247259485338,7160.0,55.0,6900.0,0,7160.0,0,0,0,0,7160.0,0.0,pix,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,novo,,NAO,,valor da venda = 7160 | 7160 pix | brinde 55
5,26/06/2026,IPHONE 17 PRO MAX 256GB AZUL LACRADO,35.724725.785420-4,7275.0,20.0,7000.0,0,7275.0,0,0,0,0,7275.0,0.0,pix,NAO,,0,NAO,,,,Renata,9451cd9f-6770-4e32-aae8-c75fa675e818,CELL,1,novo,,NAO,,valor da venda = 7275 | 7275 pix | brinde 20
6,26/06/2026,IPHONE 16 PRO MAX 1TB DESERT SEMINOVO,359222389367712,5930.0,120.0,5200.0,0,4130.0,0,0,0,1800.0,5930.0,0.0,pix+pagamento_junto,SIM,ENTROU UM 12 PRO MAX SEMINOVO,1800.0,SIM,1,5930.0,0,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,seminovo,"Pagto junto (Aparelho 1/1, total grupo R$ 5,930)",NAO,,grupo 1 (6): valor da venda = 5930 | 4130 pix + 1800 troca = 5930 | grupo R$ 5930
7,27/06/2026,IPAD 11 128GB 128GB AZUL NOVO,D17XQX74L9,2717.0,0,2600.0,0,0,0,2717.0,0,0,2717.0,0.0,cartao_credito,NAO,,0,NAO,,,,Ronald,97f12885-87ad-426a-8bbb-656889d82e10,CASES,19,novo,,NAO,,valor da venda = 2717 | 2717 credito (visa 10x (taxa 10.9%))
8,27/06/2026,IPAD 11 128GB SILVER LACRADO,JXJGT43XNN,2800.0,70.0,2600.0,0,2800.0,0,0,0,0,2800.0,0.0,pix,NAO,,0,NAO,,,,Rayssa,0dd2c938-c6dd-4f5d-aac5-ed045ee5d2fb,CELL,1,novo,,NAO,,valor da venda = 2800 | 2800 pix | brinde 70
9,28/06/2026,IPHONE 14 256GB PRETO SEMINOVO,350887743051654,2373.0,25.0,2150.0,0,0,0,2373.0,0,0,2373.0,0.0,outros,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,seminovo,,NAO,,valor da venda = 2373 | 2373 credito | brinde 25
10,28/06/2026,REDMI PAD 2 256GB CINZA NOVO,65554/W6QT01423,1450.0,0,1210.0,0,1450.0,0,0,0,0,1450.0,0.0,pix,NAO,,0,NAO,,,,Ronald,97f12885-87ad-426a-8bbb-656889d82e10,CASES,19,novo,,NAO,,valor da venda = 1450 | 1450 pix
11,28/06/2026,APPLE PENCIL PRO BRANCA NOVA,LYPH7KH547,850.0,0,720.0,0,850.0,0,0,0,0,850.0,0.0,pix,NAO,,0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,seminovo,,NAO,,valor da venda = 850 | 850 pix
12,30/06/2026,FONTE APPLE ORIGINAL NOVO,C4H617100HUQ8YQAH,200.0,0,125.0,0,0,0,0,0,0,0,200.0,pagamento_junto,NAO,,0,SIM,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,novo,,SIM,"Pagto grupo  (total R$ 0): extraiu nada deste device, restante R$ 0 compartilhado no grupo",
