orig_linha,data,modelo,imei,valor_venda,brinde,custo,lucro,pix,dinheiro,cartao_credito,cartao_debito,troca_aparelho,soma_pagamentos,diferenca,formas_pgto,tem_troca,modelo_troca,valor_troca,pagto_junto,pagto_junto_grupo,pagto_junto_total,pagto_junto_restante,vendedor,vendedor_id,loja,loja_id,estado,observacao,precisa_revisao,motivo_revisao,entendimento
2,30/06/2026,REDMI PAD 2 128GB GRAFIT NOVO,65520/W5Z501219,1200.0,0,900.0,210.0,1200.0,0,0,0,0,1200.0,0.0,pix,NAO,,0,NAO,,,,Higor Guedes,85e3aa42-b9af-49b8-a72a-64e9c337aa53,CELL,1,novo,,NAO,,valor da venda = 1200 | 1200 pix
3,01/05/2026,MI 15T PRO 512GB PRETO NOVO,860786082136022,5250.0,0,5000.0,250.0,800.0,0,0,0,4450.0,5250.0,0.0,pix,SIM,IPHONE 16 PRO 256GB PRETO,4450.0,NAO,,,,Yasmin,e07d4d35-1381-4d4d-914d-8382a7456fdd,ONLINE,4,novo,,NAO,,valor da venda = 5250 | 800 pix + 4450 troca
4,01/05/2026,IPHONE 17 PRO MAX 256GB LARANJA NOVO,352116262845892,8424.0,5.0,8200.0,219.0,0,0,6624.0,0,1800.0,8424.0,0.0,cartao_credito+troca_aparelho,SIM,14 128 LILAS SEMINOVO,1800.0,NAO,,,,Marcela,a3626643-4749-4e56-83bc-b4a8ffd53659,ONLINE,4,novo,,NAO,,valor da venda = 8424 | 6624 credito (visa 12x (taxa 12.1%)) + 1800 troca | brinde 5
5,01/05/2026,IPHONE 16 PRO MAX 512GB BRANCO SEMINOVO,355300182456355,5700.0,115.0,5150.0,435.0,3700.0,0,0,0,2000.0,5700.0,0.0,pix+troca_aparelho,SIM,IPHONE 12 PRO MAX 128GB,2000.0,NAO,,,,Renata,9451cd9f-6770-4e32-aae8-c75fa675e818,CELL,1,seminovo,,NAO,,valor da venda = 5700 | 3700 pix + 2000 troca | brinde 115
6,01/05/2026,IPHONE 16 PRO MAX  1TB PRETO SEMINOVO,355138329181332,5800.0,25.0,5350.0,425.0,5800.0,0,0,0,0,5800.0,0.0,pix,NAO,,0,NAO,,,,Renata,9451cd9f-6770-4e32-aae8-c75fa675e818,CELL,1,seminovo,,NAO,,valor da venda = 5800 | 5800 pix | brinde 25
7,01/05/2026,IPHONE 15 PRO MAX 256GB PRETO SEMINOVO,356964467452295,4340.0,25.0,3950.0,365.0,4340.0,0,0,0,0,4340.0,0.0,pix,NAO,,0,NAO,,,,Renata,9451cd9f-6770-4e32-aae8-c75fa675e818,CELL,1,seminovo,,NAO,,valor da venda = 4340 | 4340 pix | brinde 25
8,01/05/2026,IPHONE 16 PRO MAX 256GB PRETO SEMINOVO,356541623888990,5550.0,25.0,5000.0,525.0,2550.0,0,0,0,3000.0,5550.0,0.0,pix+troca_aparelho,SIM,IPHONE 14 PRO MAX 128GB,3000.0,NAO,,,,Renata,9451cd9f-6770-4e32-aae8-c75fa675e818,CELL,1,seminovo,,NAO,,valor da venda = 5550 | 2550 pix + 3000 troca | brinde 25
9,01/05/2026,IPHONE 17 PRO SILVER 256GB NOVO,352001997459930,7900.0,0,7600.0,300.0,3500.0,0,0,0,4400.0,7900.0,0.0,pix+troca_aparelho,SIM,IPHONE 16 PRO,4400.0,NAO,,,,Ronald,97f12885-87ad-426a-8bbb-656889d82e10,CASES,19,novo,,NAO,,valor da venda = 7900 | 3500 pix + 4400 troca
10,01/05/2026,IPHONE 14 PRO MAX 128GB ROXO SEMINOVO,357650618525795,3500.0,15.0,3250.0,235.0,3500.0,0,0,0,0,3500.0,0.0,pix,NAO,,0,NAO,,,,Guilherme,25e2da5b-9e76-4388-9890-7e22efd6940d,BLOCO B,20,seminovo,,NAO,,valor da venda = 3500 | 3500 pix | brinde 15
11,01/05/2026,IPHONE 12 PRO MAX 256GB GOLD SEMINOVO,350408484865846,2600.0,25.0,2350.0,225.0,2600.0,0,0,0,0,2600.0,0.0,pix,NAO,,0,NAO,,,,Higor Guedes,85e3aa42-b9af-49b8-a72a-64e9c337aa53,CELL,1,seminovo,,NAO,,valor da venda = 2600 | 2600 pix | brinde 25
12,01/05/2026,IPHONE 14 PRO MAX 256GB ROXO SEMINOVO,353665909220967,3460.0,25.0,3300.0,135.0,3460.0,0,0,0,0,3460.0,0.0,pix,NAO,,0,NAO,,,,Higor Guedes,85e3aa42-b9af-49b8-a72a-64e9c337aa53,CELL,1,seminovo,,NAO,,valor da venda = 3460 | 3460 pix | brinde 25
13,01/05/2026,IPHONE 16 PRO 256GB BRANCO SEMINOVO,355515605909702,5915.0,25.0,4500.0,500.0,2715.0,0,0,0,3200.0,5915.0,0.0,pix+troca_aparelho,SIM,IPH 15 PRO MAX 256GB NATURAL,3200.0,NAO,,,,Higor Guedes,85e3aa42-b9af-49b8-a72a-64e9c337aa53,CELL,1,seminovo,,NAO,,valor da venda = 5915 | 2715 pix + 3200 troca | brinde 25
