data,data_iso,modelo,imei,valor_venda,brinde,custo,lucro,pix,dinheiro,cartao_credito,cartao_debito,troca_aparelho,outros_pagamentos,soma_pagamentos,diferenca,tem_troca,modelo_troca,valor_troca,vendedor,loja,loja_id
30/06/2026,2026-06-30,REDMI PAD 2 128GB GRAFIT NOVO,65520/W5Z501219,1200.0,0.0,900.0,210.0,0,0,0,0,0,0,0,1200.0,NAO,,0,Higor Guedes,CELL,1
01/05/2026,2026-05-01,MI 15T PRO 512GB PRETO NOVO,860786082136022,5250.0,0.0,5000.0,250.0,800.0,0,0,0,0,0,800.0,4450.0,NAO,,0,Yasmin,ONLINE,4
01/05/2026,2026-05-01,IPHONE 17 PRO MAX 256GB LARANJA NOVO,352116262845892,8424.0,5.0,8200.0,219.0,0,0,7536.0,0,1800.0,0,9336.0,-912.0,SIM,14 128 LILAS SEMINOVO,1800.0,Marcela,ONLINE,4
01/05/2026,2026-05-01,IPHONE 16 PRO MAX 512GB BRANCO SEMINOVO,355300182456355,5700.0,115.0,5150.0,435.0,0,0,0,0,2000.0,0,2000.0,3700.0,SIM,NO VALOR DE,2000.0,Renata,CELL,1
01/05/2026,2026-05-01,IPHONE 16 PRO MAX  1TB PRETO SEMINOVO,355138329181332,5800.0,25.0,5350.0,425.0,0,0,0,0,0,0,0,5800.0,NAO,,0,Renata,CELL,1
01/05/2026,2026-05-01,IPHONE 15 PRO MAX 256GB PRETO SEMINOVO,356964467452295,4340.0,25.0,3950.0,365.0,0,0,0,0,0,0,0,4340.0,NAO,,0,Renata,CELL,1
01/05/2026,2026-05-01,IPHONE 16 PRO MAX 256GB PRETO SEMINOVO,356541623888990,5550.0,25.0,5000.0,525.0,0,0,0,0,3000.0,0,3000.0,2550.0,SIM,NO VALOR DE,3000.0,Renata,CELL,1
01/05/2026,2026-05-01,IPHONE 17 PRO SILVER 256GB NOVO,352001997459930,7900.0,0.0,7600.0,300.0,3500.0,0,0,0,4400.0,0,7900.0,0.0,SIM,IPHONE 16 PRO,4400.0,Ronald,CASES,19
01/05/2026,2026-05-01,IPHONE 14 PRO MAX 128GB ROXO SEMINOVO,357650618525795,3500.0,15.0,3250.0,235.0,0,0,0,0,0,0,0,3500.0,NAO,,0,Guilherme,BLOCO B,20
01/05/2026,2026-05-01,IPHONE 12 PRO MAX 256GB GOLD SEMINOVO,350408484865846,2600.0,25.0,2350.0,225.0,0,0,0,0,0,0,0,2600.0,NAO,,0,Higor Guedes,CELL,1
01/05/2026,2026-05-01,IPHONE 14 PRO MAX 256GB ROXO SEMINOVO,353665909220967,3460.0,25.0,3300.0,135.0,3460.0,0,0,0,0,0,3460.0,0.0,NAO,,0,Higor Guedes,CELL,1
01/05/2026,2026-05-01,IPHONE 16 PRO 256GB BRANCO SEMINOVO,355515605909702,5915.0,25.0,4500.0,500.0,2715.0,0,0,0,3200.0,0,5915.0,0.0,SIM,IPH 15 PRO MAX 256GB NATURAL,3200.0,Higor Guedes,CELL,1
01/05/2026,2026-05-01,IPHONE 16 PRO MAX 512GB NATURAL SEMINOVO,355138329035488,5525.0,25.0,5150.0,350.0,8300.0,0,0,0,0,0,8300.0,-2775.0,NAO,,0,Higor Guedes,CELL,1
