DATA,MODELO,IMEI,VALOR DE VENDA,BRINDE,CUSTO APARELHO,FORMA DE PAGAMENTO,VALOR LIQUIDO,LUCRO,MÊS,ANO,VENDEDOR,LOJA
01/05/2026,MI 15T PRO 512GB PRETO NOVO,860786082136022,"R$ 5.250,00",,"R$ 5.000,00","R4 800,00 PIX / iPhone 16 PRO 256GB PRETO R$ 4.450,00",,"R$ 250,00",mai,26,Yasmin,ONLINE
01/05/2026,IPHONE 17 PRO MAX 256GB LARANJA NOVO,352116262845892,"R$ 8.424,00","R$ 5,00","R$ 8.200,00","7.536,00 em 12x no cartão / entrou 14 128 lilás seminovo na troca por 1800,00",,"R$ 219,00",mai,26,MARCELA,ONLINE
01/05/2026,IPHONE 16 PRO MAX 512GB BRANCO SEMINOVO,355300182456355,"R$ 5.700,00","R$ 115,00","R$ 5.150,00","iphone 12 Pro Max 128GB de entrada no valor de R$ 2.000,00 / PIX de R$ 3.500,00 / PIX de R$ 200,00",,"R$ 435,00",mai,26,RENATA,CELL
01/05/2026,IPHONE 16 PRO MAX  1TB PRETO SEMINOVO,35 513832 918133 2,"R$ 5.800,00","R$ 25,00","R$ 5.350,00",PIX,,"R$ 425,00",mai,26,RENATA,CELL
01/05/2026,IPHONE 15 PRO MAX 256GB PRETO SEMINOVO,35 696446 745229 5,"R$ 4.340,00","R$ 25,00","R$ 3.950,00",PIX,,"R$ 365,00",mai,26,RENATA,CELL
01/05/2026,IPHONE 16 PRO MAX 256GB PRETO SEMINOVO,35 654162 388899 0,"R$ 5.550,00","R$ 25,00","R$ 5.000,00","iphone 14 Pro Max 128GB de entrada no valor de R$ 3.000,00 / PIX de R$ 1.000,00 / PIX de R$ 1.550,00",,"R$ 525,00",mai,26,RENATA,CELL
01/05/2026,IPHONE 17 PRO SILVER 256GB NOVO,352001997459930,"R$ 7.900,00",,"R$ 7.600,00","ENTRADA  IPHONE 16 PRO R$  4.400,00 / R$ 3.500,00 PIX",,"R$ 300,00",mai,26,Ronald,CASES
01/05/2026,IPHONE 14 PRO MAX 128GB ROXO SEMINOVO,35 765061 852579 5,"R$ 3.500,00","R$ 15,00","R$ 3.250,00",PIX,,"R$ 235,00",mai,26,Guilherme,BLOCO B
01/05/2026,IPHONE 12 PRO MAX 256GB GOLD SEMINOVO,35 040848 4865846,"R$ 2.600,00","R$ 25,00","R$ 2.350,00",PIX,,"R$ 225,00",mai,26,Higor Guedes,CELL
01/05/2026,IPHONE 14 PRO MAX 256GB ROXO SEMINOVO,35 366590 922096 7,"R$ 3.460,00","R$ 25,00","R$ 3.300,00","PIX 3.400,00 / R$ 60,00 PIX",,"R$ 135,00",mai,26,Higor Guedes,CELL
01/05/2026,IPHONE 16 PRO 256GB BRANCO SEMINOVO,35 551560 5909702,"R$ 5.915,00","R$ 25,00","R$ 4.500,00","ENTRADA IPH 15 PRO MAX 256GB NATURAL R$ 3.200,00 / PIX R$ 2.715,00",,"R$ 500,00",mai,26,Higor Guedes,CELL
01/05/2026,IPHONE 16 PRO MAX 512GB NATURAL SEMINOVO,35 513832 9035488,"R$ 5.525,00","R$ 25,00","R$ 5.150,00","PIX R$ 3.000,00 / PIX R$ 3.000,00 / PIX R$ 2.300,00 (PAGAMENTO JUNTO APARELHO 1)",,"R$ 350,00",mai,26,Higor Guedes,CELL
01/05/2026,IPHONE 16 PRO MAX 256GB NATURAL SEMINOVO,35 348462 459493 2,"R$ 5.525,00","R$ 25,00","R$ 5.000,00","ENTRADA IPH 15 128GB R$ 2.750,00 (PAGAMENTO JUNTO COM O DE CIMA APARELHO 2)",,"R$ 500,00",mai,26,Higor Guedes,CELL
01/05/2026,MACBOOK M1 SPACE 8/256 SEMINOVO,C02G79MTQ6L7,"R$ 4.100,00",,"R$ 3.900,00","PIX R$ 6.380,00 / PIX R$ 30,00 (PAGAMENTO JUNTO APARELHO 1)",,"R$ 200,00",mai,26,Higor Guedes,CELL
01/05/2026,IPHONE 16 PRO MAX BRANCO 1TB SEMINOVO,35 717750 6679088,"R$ 6.260,00","R$ 25,00","R$ 5.350,00","ENTRADA IPH 15 PRO MAX 256GB AZUL R$ 3.950,00 / PAGAMENTO JUNTO APARELHO 2",,"R$ 885,00",mai,26,Higor Guedes,CELL
02/05/2026,APPLE WATCH SERIE 11 46MM SPACE GRAY NOVO,KXJL4WFK4P,"R$ 2.450,00",,"R$ 2.350,00",CREDITO,,"R$ 100,00",mai,26,MARCELA,ONLINE
02/05/2026,IPHONE 14 128GB BRANCO SEMINOVO,350671525377135,"R$ 2.199,00","R$ 35,00","R$ 2.050,00","R$ 2.150,00 PIX / R$ 50,00 DEBITO",,"R$ 114,00",mai,26,Ronald,CASES
02/05/2026,IPHONE 17 256GB LAVANDA NOVO,359973613029086,"R$ 5.300,00","R$ 20,00","R$ 5.050,00","ENTRADA IPH 11 128GB BRANCO R$ 700,00 / R$ 5.162,74 CREDITO 10X",,"R$ 230,00",mai,26,Ronald,CASES
02/05/2026,APPLE WATCH ULTRA 3 PRETO NOVO,368135794662306,"R$ 4.750,00",,"R$ 4.400,00",PIX,,"R$ 350,00",mai,26,Ronald,CASES
02/05/2026,IPHONE 16 PRO MAX 512GB PRETO SEMINOVO,356744605708190,"R$ 5.600,00","R$ 25,00","R$ 5.150,00","ENTRADA IPH 11 128GB PRETO R$ / PIX R$ 5.150,00",,"R$ 425,00",mai,26,RENAN,BLOCO B
02/05/2026,IPHONE 15 PRO MAX 256GB NATURAL SEMINOVO,351465642570501,"R$ 4.200,00","R$ 10,00","R$ 3.950,00","PIX R$ 10.349,00 / ENTRADA IPH XR 64GB PRETO R$ 500,00  (PAGAMENTO JUNTO APARELHO 1)",,"R$ 240,00",mai,26,Higor Guedes,CELL
