DATA,MODELO,IMEI,VALOR DE VENDA,BRINDE,CUSTO APARELHO,FORMA DE PAGAMENTO,LUCRO,VENDEDOR,LOJA,PRECISA_REVISAO,MOTIVO_REVISAO,ENTENDIMENTO
04/06/2026,IPHONE 17 PRO 256GB SILVER NOVO,357679992297861,"R$ 7.370,00","R$ 30,00","R$ 6.950,00","Entrou um 14 pro Max seminovo por 3000,00 /4300,00 pix /70,00 pix","R$ 390,00",Marcela,ONLINE,SIM,So extraiu: 4370 pix de 7370 → falta R$ 3000 sem valor explicito no texto,
04/06/2026,IPHONE 15 128GB AZUL SEMINOVO,35 169847 156724 4,"R$ 2.900,00","R$ 25,00","R$ 2.660,00","1450,00 pix / entrou um 13 seminovo por 1450,00","R$ 215,00",Marcela,ONLINE,NAO,,valor da venda = 2900 | 1450 pix + 1450 troca | brinde 25
04/06/2026,IPHONE 15 PRO MAX 256GB PRETO SEMINOVO,35146564482796 6,"R$ 4.400,00","R$ 23,00","R$ 4.100,00","2500,00 pix / entrou um 14 seminovo por 1900,00","R$ 277,00",Marcela,ONLINE,NAO,,valor da venda = 4400 | 2500 pix + 1900 troca | brinde 23
04/06/2026,IPHONE 16 PRO MAX 256GB DESERT NOVO,357590879692399,"R$ 5.970,00",R$ -,"R$ 5.850,00",R$1990 no pix + R$3980 no crédito,"R$ 120,00",Renan,BLOCO B,NAO,,valor da venda = 5970 | 1990 pix + 3980 credito
04/06/2026,IPHONE 14 128GB BRANCO SEMINOVO,353687476380990,"R$ 2.100,00",R$ -,"R$ 1.900,00","R$450 no crédito + pegando um iphone 13 azul 128g por R$1650,00","R$ 200,00",Renan,BLOCO B,NAO,,valor da venda = 2100 | 450 credito + 1650 troca
04/06/2026,IPHONE 15 128GB ROSA SEMINOVO,35385062818266 0,"R$ 2.950,00","R$ 35,00","R$ 2.660,00","1000,00 pix / 1950,00 em 5x","R$ 255,00",Marcela,ONLINE,NAO,,valor da venda = 2950 | 1000 pix + 1950 credito | brinde 35
04/06/2026,IPHONE 17 256GB BRANCO NOVO,359973613643894,"R$ 4.700,00","R$ 25,00","R$ 4.600,00","9324,00 em 10x (PAGAMENTO JUNTO APARELHO 1)","R$ 75,00",Marcela,ONLINE,NAO,,grupo 1 (8 e 9): valor da venda = 4700 | 4700 pix = 4700 | grupo R$ 9324
04/06/2026,IPHONE 17 256GB PRETO NOVO,351205581240124,"R$ 4.624,00","R$ 30,00","R$ 4.500,00",PAGAMENTO JUNTO APARELHO 2,"R$ 94,00",Marcela,ONLINE,NAO,,grupo 1 (8 e 9): valor da venda = 4624 | 4624 pix = 4624 | grupo R$ 9324
04/06/2026,POCO X8 PRO MAX 512GB BRANCO NOVO,860534086640486,"R$ 3.050,00",R$ -,"R$ 2.950,00","3.050,00 PIX","R$ 100,00",Ronald,CASES,NAO,,valor da venda = 3050 | 3050 pix
04/06/2026,IPHONE 17 PRO MAX 256GB SILVER NOVO,351205745375915,"R$ 7.750,00",R$ -,"R$ 7.500,00","4.050,00 DINHEIRO / ENTRADA IPH 15 PRO MAX 256GB R$ 3.700,00","R$ 250,00",Ronald,CASES,NAO,,valor da venda = 7750 | 4050 dinheiro + 3700 troca
