DATA,MODELO,IMEI,VALOR DE VENDA,BRINDE,CUSTO APARELHO,FORMA DE PAGAMENTO,VENDEDOR,LOJA,PRECISA_REVISAO,MOTIVO_REVISAO,ENTENDIMENTO
07/05/2026,IPHONE 15 128GB ROSA SEMINOVO,353177641256390,GARANTIA,,,GARANTIA,MARCELA,ONLINE,SIM,Linha ignorada (GARANTIA/TROCA),Valor GARANTIA - ignorado
03/06/2026,IPAD 11 128GB SILVER NOVO,J9T7D3RTHM,"R$ 2.480,00",R$ -,"R$ 2.250,00","PIX R$ 2.370,00 / PIX R$ 110,00",Higor Guedes,CELL,NAO,,valor da venda = 2480 | 2480 pix
26/06/2026,IPHONE 17 PRO MAX 256GB LARANJA NOVO,357247259485338,"R$ 7.160,00","R$ 55,00","R$ 6.900,00",PIX,Marcela,ONLINE,NAO,,valor da venda = 7160 | 7160 pix | brinde 55
26/06/2026,IPHONE 17 PRO MAX 256GB AZUL LACRADO,35.724725.785420-4,"R$ 7.275,00","R$ 20,00","R$ 7.000,00",PIX,Renata,CELL,NAO,,valor da venda = 7275 | 7275 pix | brinde 20
26/06/2026,IPHONE 16 PRO MAX 1TB DESERT SEMINOVO,35 922238 936771 2,"R$ 5.930,00","R$ 120,00","R$ 5.200,00","2000,00 pix/2000,0 em 10x /entrou um 12 pro Max seminovo 1800,00/330,00 pix - PAGAMENTO JUNTO - APARELHO 1",Marcela,ONLINE,NAO,,grupo 1 (6): valor da venda = 5930 | 4130 pix + 1800 troca = 5930 | grupo R$ 5930
27/06/2026,IPAD 11 128GB 128GB AZUL NOVO,D17XQX74L9,"R$ 2.717,00",R$ -,"R$ 2.600,00","R$ 3.050,00 CRÉDITO 10x",Ronald,CASES,NAO,,valor da venda = 2717 | 2717 credito (visa 10x (taxa 10.9%))
27/06/2026,IPAD 11 128GB SILVER LACRADO,JXJGT43XNN,"R$ 2.800,00","R$ 70,00","R$ 2.600,00","PIX R$ 2.704,00 / PIX R$ 96,00",Rayssa,CELL,NAO,,valor da venda = 2800 | 2800 pix | brinde 70
28/06/2026,IPHONE 14 256GB PRETO SEMINOVO,35 088774 305165 4,"R$ 2.373,00","R$ 25,00","R$ 2.150,00","2373,00 em 8x",Marcela,ONLINE,NAO,,valor da venda = 2373 | 2373 credito | brinde 25
28/06/2026,REDMI PAD 2 256GB CINZA NOVO,65554/W6QT01423,"R$ 1.450,00",R$ -,"R$ 1.210,00",PIX,Ronald,CASES,NAO,,valor da venda = 1450 | 1450 pix
28/06/2026,APPLE PENCIL PRO BRANCA NOVA,LYPH7KH547,"R$ 850,00",R$ -,"R$ 720,00",PIX,Marcela,ONLINE,NAO,,valor da venda = 850 | 850 pix
